Grade,Medium,Subject,DOMAIN,Question No,Answered,Wrong Answered,Un Answered,Answered %,Wrong Answered %,Un Answered %
Grade-VI,Tamil,Tamil,Applies the correct grammar rules for tense,Q1,27,6,0,0.0273,0.0061,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules for preposition,Q2,32,1,0,0.0323,0.001,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules for conjunction,Q3,25,8,0,0.0253,0.0081,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q4,27,6,0,0.0273,0.0061,0
Grade-VI,Tamil,Tamil,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q5,31,2,0,0.0313,0.002,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q6,16,17,0,0.0162,0.0172,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules for conjunctions,Q7,18,15,0,0.0182,0.0152,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q8,12,21,0,0.0121,0.0212,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q9,31,2,0,0.0313,0.002,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q10,26,7,0,0.0263,0.0071,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q11,23,10,0,0.0232,0.0101,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q12,26,7,0,0.0263,0.0071,0
Grade-VI,Tamil,Tamil,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q13,24,9,0,0.0242,0.0091,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q14,24,9,0,0.0242,0.0091,0
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q15,23,10,0,0.0232,0.0101,0
Grade-VI,Tamil,Tamil,Identifies the characters of the story,Q16,28,4,1,0.0283,0.004,0.001
Grade-VI,Tamil,Tamil,Applies the correct grammar rules,Q17,25,7,1,0.0253,0.0071,0.001
Grade-VI,Tamil,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q18,24,8,1,0.0242,0.0081,0.001
Grade-VI,Tamil,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q19,29,3,1,0.0293,0.003,0.001
Grade-VI,Tamil,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q20,28,4,1,0.0283,0.004,0.001
Grade-VI,Tamil,Tamil,Identifies the characters of the story,Q21,27,5,1,0.0273,0.0051,0.001
Grade-VI,Tamil,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q22,18,15,0,0.0182,0.0152,0
Grade-VI,Tamil,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q23,28,5,0,0.0283,0.0051,0
Grade-VI,Tamil,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q24,32,1,0,0.0323,0.001,0
Grade-VI,Tamil,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q25,30,3,0,0.0303,0.003,0
Grade-VI,Tamil,Tamil,Identifies the characters of the story,Q26,15,18,0,0.0152,0.0182,0
